# Reference star for x-correlation of stars with good parallax
# P Jofre, Cambridge, Tue Dec  9 13:21:14 2014
star  spec  snr
   HIP100064     ADP.2014-09-18T12:12:29.927.fits   370.90
   HIP101772     ADP.2014-09-16T11:04:11.503.fits   362.10
   HIP102831     ADP.2014-09-17T11:21:03.460.fits   209.20
    HIP10326     ADP.2014-09-18T12:14:09.447.fits   125.75
   HIP103527     ADP.2014-09-23T11:02:17.110.fits   389.50
   HIP104174     ADP.2014-09-17T11:22:18.827.fits   181.50
   HIP107344     ADP.2014-09-23T11:05:53.300.fits   261.55
   HIP110391     ADP.2014-09-26T16:54:35.857.fits    35.80
   HIP110882     ADP.2014-10-01T10:22:50.857.fits   174.20
   HIP114855     ADP.2014-09-17T11:21:58.700.fits   174.15
   HIP115227     ADP.2014-09-17T11:21:45.427.fits   332.25
    HIP12247     ADP.2014-09-23T11:02:54.553.fits   326.45
    HIP12486     ADP.2014-09-18T12:17:40.870.fits   166.00
    HIP13147     ADP.2014-09-29T13:27:05.933.fits   291.15
    HIP13288     ADP.2014-09-16T11:05:42.293.fits   176.20
    HIP13701     ADP.2014-09-16T11:05:27.407.fits   331.10
    HIP14110     ADP.2014-09-16T11:06:57.363.fits   135.05
    HIP14135     ADP.2014-09-17T11:20:24.433.fits   148.35
    HIP15383     ADP.2014-09-26T16:54:31.300.fits    90.30
     HIP1562     ADP.2014-09-18T12:10:07.290.fits   283.75
    HIP16780     ADP.2014-09-23T11:04:09.263.fits   155.70
    HIP16870     ADP.2014-09-23T11:02:40.377.fits   187.25
    HIP17351     ADP.2014-09-23T11:05:07.270.fits   215.95
    HIP17738     ADP.2014-09-23T11:03:09.170.fits   174.80
    HIP18199     ADP.2014-09-23T11:03:26.250.fits   136.65
    HIP19378     ADP.2014-09-18T12:12:08.567.fits   282.35
    HIP19747     ADP.2014-10-01T10:20:06.440.fits   188.55
    HIP20205     ADP.2014-09-26T16:51:53.543.fits   248.10
    HIP20455     ADP.2014-09-25T15:35:06.140.fits   234.45
    HIP20885     ADP.2014-09-24T09:42:49.533.fits   423.45
    HIP20889     ADP.2014-09-26T16:52:57.907.fits   263.85
    HIP21393     ADP.2014-09-18T12:14:07.663.fits   151.10
    HIP21421     ADP.2014-09-17T11:23:50.897.fits   372.00
    HIP21743     ADP.2014-09-18T12:17:35.433.fits   146.75
    HIP22479     ADP.2014-09-16T11:06:36.277.fits   184.20
    HIP23685     ADP.2014-10-01T10:21:09.313.fits   600.95
    HIP25916     ADP.2014-09-18T12:12:20.060.fits   145.20
    HIP25993     ADP.2014-09-18T12:12:20.060.fits   145.20
    HIP27628     ADP.2014-09-18T12:13:17.433.fits   199.25
    HIP28413     ADP.2014-09-23T11:04:21.777.fits   313.40
